Neighborhood,Population,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,Postal Code,Borough,Neighbourhood,Zip,ID,Lat,Long,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Country,Source
Agincourt,44557,Skating Rink,Lounge,Latin American Restaurant,Breakfast Spot,Donut Shop,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,M1S,Scarborough,Agincourt,M1S,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1
"Alderwood, Long Branch",21281,Pizza Place,Gym,Coffee Shop,Skating Rink,Pub,Discount Store,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant,M8W,Etobicoke,"Alderwood, Long Branch",M8W,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1
"Bathurst Manor, Wilson Heights, Downsview North",65290,Coffee Shop,Bank,Pharmacy,Fried Chicken Joint,Shopping Mall,Bridal Shop,Diner,Sandwich Place,Deli / Bodega,Middle Eastern Restaurant,M3H,North York,"Bathurst Manor, Wilson Heights, Downsview North",M3H,2,2,2,2,2,2,2,2,2,0,0,2,2,0,2,2
Bayview Village,12280,Japanese Restaurant,Café,Bank,Chinese Restaurant,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Women's Store,M2K,North York,Bayview Village,M2K,3,3,3,3,3,3,3,3,3,0,0,3,3,0,3,3
"Bedford Park, Lawrence Manor East",27499,Italian Restaurant,Coffee Shop,Sandwich Place,Women's Store,Butcher,Restaurant,Café,Pub,Pizza Place,Comfort Food Restaurant,M5M,North York,"Bedford Park, Lawrence Manor East",M5M,4,4,4,4,4,4,4,4,4,0,0,4,4,0,4,4
Berczy Park,,Coffee Shop,Cocktail Bar,Bakery,Beer Bar,Farmers Market,Seafood Restaurant,Cheese Shop,Restaurant,Clothing Store,Juice Bar,M5E,Downtown Toronto,Berczy Park,M5E,3,3,3,3,3,3,3,3,3,0,0,3,3,0,3,3
"Birch Cliff, Cliffside West",21652,College Stadium,Café,Skating Rink,General Entertainment,Women's Store,Dog Run,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,M1N,Scarborough,"Birch Cliff, Cliffside West",M1N,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1
"Brockton, Parkdale Village, Exhibition Place",37406,Café,Coffee Shop,Breakfast Spot,Bakery,Stadium,Burrito Place,Furniture / Home Store,Restaurant,Climbing Gym,Nightclub,M6K,West Toronto,"Brockton, Parkdale Village, Exhibition Place",M6K,4,4,4,4,4,4,4,4,4,0,0,4,4,0,4,4
"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",14368,Airport Service,Airport Terminal,Airport Lounge,Plane,Coffee Shop,Sculpture Garden,Bar,Boat or Ferry,Rental Car Location,Airport Gate,M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",M5V,11,11,11,11,11,11,11,11,11,0,0,11,11,0,11,11
Caledonia-Fairbanks,0,Park,Women's Store,Pool,Dog Run,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,M6E,York,Caledonia-Fairbanks,M6E,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1
Central Bay Street,4787,Coffee Shop,Italian Restaurant,Sandwich Place,Café,Salad Place,Bubble Tea Shop,Burger Joint,Poke Place,Comic Shop,Office,M5G,Downtown Toronto,Central Bay Street,M5G,12,12,12,12,12,12,12,12,12,0,0,12,12,0,12,12
